gameDuration,victory,FirstBlood,Dragon,Baron,Tower,Inhibitor
1949,0,1,1,0,5,0
1851,0,0,0,0,2,0
1493,1,0,1,1,8,1
1758,0,0,0,0,0,0
2094,0,1,1,0,3,0
2059,0,1,3,0,6,0
1993,1,1,2,1,10,2
1387,0,0,0,0,0,0
2681,1,1,2,1,8,3
1391,1,1,1,1,10,2
1671,0,0,2,0,2,0
1942,0,1,2,0,3,0
2374,1,1,2,0,9,2
1717,1,0,2,0,7,1
2390,1,1,4,2,9,3
1994,0,1,0,0,2,0
1513,1,0,2,0,11,3
1898,0,1,3,0,4,0
2026,1,0,2,1,11,3
1962,1,0,2,1,9,1
1511,1,0,2,0,10,2
1756,0,0,0,0,2,0
2173,1,1,0,0,11,3
2211,1,1,3,0,10,2
2472,1,1,3,1,10,2
2288,1,0,3,1,7,2
1899,0,0,1,0,2,0
1597,1,1,0,1,9,1
1649,1,1,2,0,9,2
1894,1,1,2,0,10,2
2473,0,0,3,1,7,1
2452,1,0,1,1,11,3
1478,1,1,1,0,11,3
1505,1,1,2,0,10,2
2112,0,0,1,0,0,0
2054,0,1,0,0,3,0
1349,0,1,0,0,0,0
2309,1,1,1,2,10,1
1329,1,1,1,0,11,3
1800,0,1,1,0,4,0
932,1,1,1,0,6,1
2166,1,0,1,1,8,1
1994,0,0,1,0,2,0
2048,0,0,1,1,2,0
1461,1,1,2,0,8,2
2302,0,0,0,0,4,0
2237,1,1,1,1,9,1
2555,1,0,1,1,11,4
